"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "threshold" "external_gene_name"
"226" "ENSDARG00000001558" 1039.16083531913 3.47713211794181 0.226603639839799 2.64700775493151e-54 2.63720049598338e-52 TRUE "kifc1"
"228" "ENSDARG00000086060" 1051.33932515403 3.47528312104807 0.204325727459463 5.2341426321091e-66 7.79408862803902e-64 TRUE "hmcn2"
"229" "ENSDARG00000075621" 498.881329403732 3.47258739572239 0.22047171439247 6.05742704002182e-57 6.65764113997954e-55 TRUE "birc5a"
"230" "ENSDARG00000093922" 183.082032193593 3.4694399411971 0.342427358722653 3.52784110346451e-25 9.52345175854353e-24 TRUE "CR354542.1"
"232" "ENSDARG00000002445" 1099.42615427655 3.46066114070277 0.180288632613557 3.80926244458334e-83 1.09901189507942e-80 TRUE "prdm1a"
"233" "ENSDARG00000051962" 12208.025693659 3.45495110153434 0.166360470692617 6.58755451665737e-97 2.72321637981879e-94 TRUE "mmp15a"
"234" "ENSDARG00000081442" 4.57113571536214 3.44899412316127 3.19780548065792 0.00514830878614301 0.0126715283435353 TRUE "dre-let-7c-1"
"235" "ENSDARG00000082197" 4.57113571536214 3.44899412316127 3.19780548065792 0.00514830878614301 0.0126715283435353 TRUE "dre-mir-99-1"
"236" "ENSDARG00000070239" 573.629655192726 3.44495438378035 0.237885895855199 1.16168019915681e-48 9.1928732788703e-47 TRUE "knl1"
"237" "ENSDARG00000045167" 716.643128932839 3.43827585020575 0.201218064361377 1.64040633229022e-66 2.49639198821112e-64 TRUE "dlgap5"
"239" "ENSDARG00000015460" 772.063991153423 3.4324059389641 0.214479389971303 1.03120063123172e-58 1.22056255911218e-56 TRUE "racgap1"
"241" "ENSDARG00000042688" 135.100134080635 3.42580145422499 0.37128486741629 2.79302497002812e-21 5.77301586528873e-20 TRUE "bora"
"242" "ENSDARG00000090820" 584.155277605965 3.42058014484842 0.211321699984476 5.46150906026507e-60 6.63453580886674e-58 TRUE "slc2a10"
